UserId;SlideId;Date;Time
0;5;2014-09-03;12:20:28
1;6;2014-09-03;12:25:09
1;4;2014-09-03;12:25:24
2;20;2014-09-03;12:26:06
3;10;2014-09-03;12:26:42
2;21;2014-09-03;12:29:53
2;22;2014-09-03;12:31:23
4;15;2014-09-03;12:33:11
3;11;2014-09-03;12:36:38
5;19;2014-09-03;12:38:28
6;16;2014-09-03;12:38:55
7;14;2014-09-03;12:41:37
1;18;2014-09-03;12:41:45
8;17;2014-09-03;12:45:53
9;0;2014-09-03;12:46:21
10;27;2014-09-03;12:47:03
9;1;2014-09-03;12:47:20
11;3;2014-09-03;12:47:37
11;4;2014-09-03;12:48:51
12;20;2014-09-03;12:49:30
12;21;2014-09-03;12:53:15
11;5;2014-09-03;12:54:57
8;18;2014-09-03;12:55:23
3;12;2014-09-03;12:57:31
1;5;2014-09-03;12:57:33
4;16;2014-09-03;12:58:01
2;23;2014-09-03;13:00:05
13;18;2014-09-03;13:00:41
3;13;2014-09-03;13:01:20
2;24;2014-09-03;13:02:31
10;28;2014-09-03;13:03:39
10;29;2014-09-03;13:03:44
12;22;2014-09-03;13:04:38
8;19;2014-09-03;13:05:27
14;0;2014-09-03;13:05:55
15;23;2014-09-03;13:06:15
13;6;2014-09-03;13:06:18
14;9;2014-09-03;13:06:28
13;7;2014-09-03;13:07:44
5;20;2014-09-03;13:10:05
16;6;2014-09-03;13:10:10
16;7;2014-09-03;13:13:51
2;25;2014-09-03;13:14:08
7;15;2014-09-03;13:15:05
14;10;2014-09-03;13:16:13
5;21;2014-09-03;13:16:23
17;10;2014-09-03;13:17:51
5;22;2014-09-03;13:18:07
13;8;2014-09-03;13:19:50
18;12;2014-09-03;13:20:14
19;1;2014-09-03;13:20:28
17;11;2014-09-03;13:20:50
2;26;2014-09-03;13:21:00
13;9;2014-09-03;13:21:00
10;30;2014-09-03;13:21:23
18;13;2014-09-03;13:21:27
14;11;2014-09-03;13:21:37
3;14;2014-09-03;13:22:36
15;24;2014-09-03;13:26:01
2;27;2014-09-03;13:34:31
20;3;2014-09-03;13:34:59
4;17;2014-09-03;13:38:20
14;12;2014-09-03;13:39:27
20;4;2014-09-03;13:39:42
21;3;2014-09-03;13:39:59
21;4;2014-09-03;13:40:35
20;5;2014-09-03;13:41:08
22;0;2014-09-03;13:41:30
14;13;2014-09-03;13:41:41
22;1;2014-09-03;13:42:36
23;2;2014-09-03;13:45:23
22;2;2014-09-03;13:48:08
24;0;2014-09-03;13:48:39
24;1;2014-09-03;13:49:36
25;3;2014-09-03;13:50:22
19;2;2014-09-03;13:50:44
26;3;2014-09-03;13:54:11
17;12;2014-09-03;13:57:19
4;18;2014-09-03;13:58:28
27;0;2014-09-03;13:59:11
27;1;2014-09-03;13:59:26
27;2;2014-09-03;13:59:30
28;0;2014-09-03;13:59:36
20;6;2014-09-03;13:59:45
28;1;2014-09-03;13:59:48
